File Name,URL,Proposed New URL
Index.html,https://www.vizit.com,
Vizit Next Gen Platform.html,https://www.vizit.com/platform,
Score Your Content.html,https://www.vizit.com/score-your-content,vizit.com/demo
Case Studies.html,https://www.vizit.com/resources/case-studies,vizit.com/case-study
Central Garden Case Study.html,https://www.vizit.com/resources/case-studies/central-garden,vizit.com/case-study/central-garden
Ghirardelli Case Study.html,https://www.vizit.com/resources/case-studies/ghirardelli,vizit.com/case-study/ghirardelli
Mars Petcare Case Study.html,https://www.vizit.com/resources/case-studies/mars-petcare,vizit.com/case-study/mars-petcare
Moen Case Study.html,https://www.vizit.com/resources/case-studies/moen,vizit.com/case-study/moen
Beauty Case Study.html,https://www.vizit.com/resources/case-studies/worlds-largest-beauty-company,vizit.com/case-study/worlds-largest-beauty-company
Purina Case Study.html,https://www.vizit.com/resources/case-studies/purina,vizit.com/case-study/purina
Privacy Policy.html,https://www.vizit.com/terms-of-service,
Terms of Service.html,https://www.vizit.com/privacy-policy,
Blog.html,https://www.vizit.com/blog,
Vizit API.html,https://www.vizit.com/api,
Blog Article.html (3-things-shoptalk-spring-2025),https://www.vizit.com/blog/3-things-shoptalk-spring-2025,
Blog Article.html (3-ways-adopting-visual-ai-can-keep-your-company-competitive),https://www.vizit.com/blog/3-ways-adopting-visual-ai-can-keep-your-company-competitive,
Blog Article.html (5-essential-visual-trends-to-capture-winter-skincare-shoppers-on-ulta),https://www.vizit.com/blog/5-essential-visual-trends-to-capture-winter-skincare-shoppers-on-ulta,
Blog Article.html (5-tips-for-fast-digital-shelf-optimization),https://www.vizit.com/blog/5-tips-for-fast-digital-shelf-optimization,
Blog Article.html (ai-imagery-innovation-what-to-expect-2025-digital-shelf-summit),https://www.vizit.com/blog/ai-imagery-innovation-what-to-expect-2025-digital-shelf-summit,
Blog Article.html (ai-leader-vizit-launches-content-effectiveness-rankings-spotlighting-the-top-200-brands-with-the-most-effective-ecommerce-content),https://www.vizit.com/blog/ai-leader-vizit-launches-content-effectiveness-rankings-spotlighting-the-top-200-brands-with-the-most-effective-ecommerce-content,
Blog Article.html (ai-visual-content-analytics-pioneer-vizit-continues-record-growth-expands-leadership-team-adds-adobe-executive-chief-revenue-officer),https://www.vizit.com/blog/ai-visual-content-analytics-pioneer-vizit-continues-record-growth-expands-leadership-team-adds-adobe-executive-chief-revenue-officer,
Blog Article.html (air-fryers-visual-trends-for-the-hottest-kitchen-appliance),https://www.vizit.com/blog/air-fryers-visual-trends-for-the-hottest-kitchen-appliance,
Blog Article.html (alcohol-first-impressions-doritos-empirical),https://www.vizit.com/blog/alcohol-first-impressions-doritos-empirical,
Blog Article.html (alcohol-sku-rescue-don-julio-tequila),https://www.vizit.com/blog/alcohol-sku-rescue-don-julio-tequila,
Blog Article.html (allergy-medicine-head-to-head-benadryl-versus-alka-seltzer),https://www.vizit.com/blog/allergy-medicine-head-to-head-benadryl-versus-alka-seltzer,
Blog Article.html (amazon-prime-day-black-friday-holiday-shopping-season),https://www.vizit.com/blog/amazon-prime-day-black-friday-holiday-shopping-season,
Blog Article.html (amazon-prime-day-lessons-learned-trends-to-watch),https://www.vizit.com/blog/amazon-prime-day-lessons-learned-trends-to-watch,
Blog Article.html (apparel-head-to-head-lee-versus-wrangler),https://www.vizit.com/blog/apparel-head-to-head-lee-versus-wrangler,
